question,item,number_responses,prop,perc,lab_perc
"In your opinion, how important for your field is it that materials and/or code are openly available?",Moderately important,32,0.2831858407079646,28.32,28.32%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Very important,41,0.36283185840707965,36.28,36.28%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Extremely important,23,0.20353982300884957,20.35,20.35%
"In your opinion, how important for your field is it that materials and/or code are openly available?",I don’t know/prefer not to answer,2,0.017699115044247787,1.77,1.77%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Not at all important,3,0.02654867256637168,2.65,2.65%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Slightly important,10,0.08849557522123894,8.85,8.85%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Researchers in my discipline do not use materials and/or code,2,0.017699115044247787,1.77,1.77%
What is your experience with using open materials and/or code?,"I am aware of open materials and/or code, but have not used it in my research",46,0.40707964601769914,40.71,40.71%
What is your experience with using open materials and/or code?,"I have some experience with open materials and/or code, but do not use them regularly",35,0.30973451327433627,30.97,30.97%
What is your experience with using open materials and/or code?,I regularly use and/or create open materials and/or code,24,0.21238938053097345,21.24,21.24%
What is your experience with using open materials and/or code?,"Until now, I hadn't heard of open materials and/or code",8,0.07079646017699115,7.08,7.08%
What is your experience with sharing open materials and/or code?,"I have some experience with open materials and/or code, but do not share mine regularly",36,0.3185840707964602,31.86,31.86%
What is your experience with sharing open materials and/or code?,"I am aware of open materials and/or code, but have not shared my own",38,0.336283185840708,33.63,33.63%
What is your experience with sharing open materials and/or code?,I regularly share open materials and/or code,32,0.2831858407079646,28.32,28.32%
What is your experience with sharing open materials and/or code?,"Until now, I hadn't heard of open materials and/or code",7,0.061946902654867256,6.19,6.19%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I might lose control over how my materials and/or code are being used,17,0.1504424778761062,15.04,15.04%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I do not share any of these concerns,31,0.2743362831858407,27.43,27.43%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I don’t know/prefer not to answer,4,0.035398230088495575,3.54,3.54%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Other,7,0.061946902654867256,6.19,6.19%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,There could be issues related to intellectual property,3,0.02654867256637168,2.65,2.65%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Sharing these materials and/or code could result in others asking me to provide assistance for their research,7,0.061946902654867256,6.19,6.19%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Other researchers might criticise my materials and/or code,10,0.08849557522123894,8.85,8.85%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Others might find it difficult to understand my materials and/or code,22,0.19469026548672566,19.47,19.47%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Other researchers might find errors in my published work,3,0.02654867256637168,2.65,2.65%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Reuse of my materials and/or code could violate the epistemological framework of my research,5,0.04424778761061947,4.42,4.42%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I might not receive appropriate credit for developing the materials and/or code if I make them openly available,4,0.035398230088495575,3.54,3.54%
