question,item,number_responses,prop,perc,lab_perc
"In your opinion, how important for your field is it that data from published research are openly available?",Moderately important,36,0.3185840707964602,31.86,31.86%
"In your opinion, how important for your field is it that data from published research are openly available?",Very important,36,0.3185840707964602,31.86,31.86%
"In your opinion, how important for your field is it that data from published research are openly available?",Extremely important,21,0.18584070796460178,18.58,18.58%
"In your opinion, how important for your field is it that data from published research are openly available?",I don’t know/prefer not to answer,3,0.02654867256637168,2.65,2.65%
"In your opinion, how important for your field is it that data from published research are openly available?",Not at all important,6,0.05309734513274336,5.31,5.31%
"In your opinion, how important for your field is it that data from published research are openly available?",Slightly important,11,0.09734513274336283,9.73,9.73%
What is your experience with using open data?,"I am aware of open data, but have not used this in my research",52,0.46017699115044247,46.02,46.02%
What is your experience with using open data?,I don’t know/prefer not to answer,2,0.017699115044247787,1.77,1.77%
What is your experience with using open data?,"I have some experience using open data, but do not use them regularly",32,0.2831858407079646,28.32,28.32%
What is your experience with using open data?,I regularly use open data,24,0.21238938053097345,21.24,21.24%
What is your experience with using open data?,"Until now, I was unaware of open data",3,0.02654867256637168,2.65,2.65%
What is your experience with sharing open data?,"I have some experience sharing open data, but not regularly",31,0.2743362831858407,27.43,27.43%
What is your experience with sharing open data?,I don’t know/prefer not to answer,4,0.035398230088495575,3.54,3.54%
What is your experience with sharing open data?,"I am aware of open data, but have not shared my data",56,0.49557522123893805,49.56,49.56%
What is your experience with sharing open data?,I regularly share open data,20,0.17699115044247787,17.7,17.7%
What is your experience with sharing open data?,"Until now, I was unaware of open data",2,0.017699115044247787,1.77,1.77%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,There could be issues related to privacy,16,0.1415929203539823,14.16,14.16%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,I do not share any of these concerns,20,0.17699115044247787,17.7,17.7%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,I don’t know/prefer not to answer,2,0.017699115044247787,1.77,1.77%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,Other,5,0.04424778761061947,4.42,4.42%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,There could be issues related to intellectual property,34,0.3008849557522124,30.09,30.09%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,Other researchers might criticise my data and/or research practices,9,0.07964601769911504,7.96,7.96%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,There could be issues related to ethics,13,0.11504424778761062,11.5,11.5%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,I might lose control over how my data are being used,4,0.035398230088495575,3.54,3.54%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,"I think it is unfair for researchers beyond the original team to benefit (e.g. through future publications, career advancement) from my data collection",3,0.02654867256637168,2.65,2.65%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,Other researchers could use my data for another study that I intended to conduct in the future,3,0.02654867256637168,2.65,2.65%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,I might not receive appropriate credit for my data collection,4,0.035398230088495575,3.54,3.54%
