question,item,number_responses,prop,perc,lab_perc,ymax,ymin,lab_pos
"In your opinion, how important for your field is it that materials and/or code are openly available?",Moderately important,32,0.2831858407079646,28.32,28.32%,0.2831858407079646,0,0.1415929203539823
"In your opinion, how important for your field is it that materials and/or code are openly available?",Very important,41,0.36283185840707965,36.28,36.28%,0.6460176991150443,0.2831858407079646,0.4646017699115044
"In your opinion, how important for your field is it that materials and/or code are openly available?",Extremely important,23,0.20353982300884957,20.35,20.35%,0.8495575221238938,0.6460176991150443,0.747787610619469
"In your opinion, how important for your field is it that materials and/or code are openly available?",I don’t know/prefer not to answer,2,0.017699115044247787,1.77,1.77%,0.8672566371681416,0.8495575221238938,0.8584070796460177
"In your opinion, how important for your field is it that materials and/or code are openly available?",Not at all important,3,0.02654867256637168,2.65,2.65%,0.8938053097345133,0.8672566371681416,0.8805309734513275
"In your opinion, how important for your field is it that materials and/or code are openly available?",Slightly important,10,0.08849557522123894,8.85,8.85%,0.9823008849557522,0.8938053097345133,0.9380530973451328
"In your opinion, how important for your field is it that materials and/or code are openly available?",Researchers in my discipline do not use materials and/or code,2,0.017699115044247787,1.77,1.77%,1,0.9823008849557522,0.9911504424778761
What is your experience with using open materials and/or code?,"I am aware of open materials and/or code, but have not used it in my research",46,0.40707964601769914,40.71,40.71%,0.40707964601769914,0,0.20353982300884957
What is your experience with using open materials and/or code?,"I have some experience with open materials and/or code, but do not use them regularly",35,0.30973451327433627,30.97,30.97%,0.7168141592920354,0.40707964601769914,0.5619469026548672
What is your experience with using open materials and/or code?,I regularly use and/or create open materials and/or code,24,0.21238938053097345,21.24,21.24%,0.9292035398230089,0.7168141592920354,0.8230088495575221
What is your experience with using open materials and/or code?,"Until now, I hadn't heard of open materials and/or code",8,0.07079646017699115,7.08,7.08%,1,0.9292035398230089,0.9646017699115044
What is your experience with sharing open materials and/or code?,"I have some experience with open materials and/or code, but do not share mine regularly",36,0.3185840707964602,31.86,31.86%,0.3185840707964602,0,0.1592920353982301
What is your experience with sharing open materials and/or code?,"I am aware of open materials and/or code, but have not shared my own",38,0.336283185840708,33.63,33.63%,0.6548672566371682,0.3185840707964602,0.48672566371681414
What is your experience with sharing open materials and/or code?,I regularly share open materials and/or code,32,0.2831858407079646,28.32,28.32%,0.9380530973451328,0.6548672566371682,0.7964601769911505
What is your experience with sharing open materials and/or code?,"Until now, I hadn't heard of open materials and/or code",7,0.061946902654867256,6.19,6.19%,1,0.9380530973451328,0.9690265486725664
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I might lose control over how my materials and/or code are being used,17,0.1504424778761062,15.04,15.04%,0.1504424778761062,0,0.0752212389380531
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I do not share any of these concerns,31,0.2743362831858407,27.43,27.43%,0.4247787610619469,0.1504424778761062,0.28761061946902655
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I don’t know/prefer not to answer,4,0.035398230088495575,3.54,3.54%,0.46017699115044247,0.4247787610619469,0.4424778761061947
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Other,7,0.061946902654867256,6.19,6.19%,0.5221238938053098,0.46017699115044247,0.4911504424778761
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,There could be issues related to intellectual property,3,0.02654867256637168,2.65,2.65%,0.5486725663716814,0.5221238938053098,0.5353982300884956
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Sharing these materials and/or code could result in others asking me to provide assistance for their research,7,0.061946902654867256,6.19,6.19%,0.6106194690265486,0.5486725663716814,0.579646017699115
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Other researchers might criticise my materials and/or code,10,0.08849557522123894,8.85,8.85%,0.6991150442477876,0.6106194690265486,0.654867256637168
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Others might find it difficult to understand my materials and/or code,22,0.19469026548672566,19.47,19.47%,0.8938053097345132,0.6991150442477876,0.7964601769911503
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Other researchers might find errors in my published work,3,0.02654867256637168,2.65,2.65%,0.9203539823008849,0.8938053097345132,0.9070796460176991
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Reuse of my materials and/or code could violate the epistemological framework of my research,5,0.04424778761061947,4.42,4.42%,0.9646017699115044,0.9203539823008849,0.9424778761061947
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I might not receive appropriate credit for developing the materials and/or code if I make them openly available,4,0.035398230088495575,3.54,3.54%,1,0.9646017699115044,0.9823008849557522
