question,item,number_responses,prop,perc,lab_perc,ymax,ymin,lab_pos
"In your opinion, how important for your field is it that data from published research are openly available?",Moderately important,36,0.3185840707964602,31.86,31.86%,0.3185840707964602,0,0.1592920353982301
"In your opinion, how important for your field is it that data from published research are openly available?",Very important,36,0.3185840707964602,31.86,31.86%,0.6371681415929203,0.3185840707964602,0.47787610619469023
"In your opinion, how important for your field is it that data from published research are openly available?",Extremely important,21,0.18584070796460178,18.58,18.58%,0.8230088495575221,0.6371681415929203,0.7300884955752212
"In your opinion, how important for your field is it that data from published research are openly available?",I don’t know/prefer not to answer,3,0.02654867256637168,2.65,2.65%,0.8495575221238938,0.8230088495575221,0.8362831858407079
"In your opinion, how important for your field is it that data from published research are openly available?",Not at all important,6,0.05309734513274336,5.31,5.31%,0.9026548672566371,0.8495575221238938,0.8761061946902655
"In your opinion, how important for your field is it that data from published research are openly available?",Slightly important,11,0.09734513274336283,9.73,9.73%,1,0.9026548672566371,0.9513274336283186
What is your experience with using open data?,"I am aware of open data, but have not used this in my research",52,0.46017699115044247,46.02,46.02%,0.46017699115044247,0,0.23008849557522124
What is your experience with using open data?,I don’t know/prefer not to answer,2,0.017699115044247787,1.77,1.77%,0.47787610619469023,0.46017699115044247,0.4690265486725663
What is your experience with using open data?,"I have some experience using open data, but do not use them regularly",32,0.2831858407079646,28.32,28.32%,0.7610619469026548,0.47787610619469023,0.6194690265486725
What is your experience with using open data?,I regularly use open data,24,0.21238938053097345,21.24,21.24%,0.9734513274336283,0.7610619469026548,0.8672566371681416
What is your experience with using open data?,"Until now, I was unaware of open data",3,0.02654867256637168,2.65,2.65%,1,0.9734513274336283,0.9867256637168141
What is your experience with sharing open data?,"I have some experience sharing open data, but not regularly",31,0.2743362831858407,27.43,27.43%,0.2743362831858407,0,0.13716814159292035
What is your experience with sharing open data?,I don’t know/prefer not to answer,4,0.035398230088495575,3.54,3.54%,0.30973451327433627,0.2743362831858407,0.2920353982300885
What is your experience with sharing open data?,"I am aware of open data, but have not shared my data",56,0.49557522123893805,49.56,49.56%,0.8053097345132743,0.30973451327433627,0.5575221238938053
What is your experience with sharing open data?,I regularly share open data,20,0.17699115044247787,17.7,17.7%,0.9823008849557522,0.8053097345132743,0.8938053097345132
What is your experience with sharing open data?,"Until now, I was unaware of open data",2,0.017699115044247787,1.77,1.77%,1,0.9823008849557522,0.9911504424778761
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,There could be issues related to privacy,16,0.1415929203539823,14.16,14.16%,0.1415929203539823,0,0.07079646017699115
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,I do not share any of these concerns,20,0.17699115044247787,17.7,17.7%,0.3185840707964602,0.1415929203539823,0.23008849557522124
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,I don’t know/prefer not to answer,2,0.017699115044247787,1.77,1.77%,0.33628318584070793,0.3185840707964602,0.327433628318584
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,Other,5,0.04424778761061947,4.42,4.42%,0.3805309734513274,0.33628318584070793,0.3584070796460177
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,There could be issues related to intellectual property,34,0.3008849557522124,30.09,30.09%,0.6814159292035399,0.3805309734513274,0.5309734513274337
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,Other researchers might criticise my data and/or research practices,9,0.07964601769911504,7.96,7.96%,0.7610619469026549,0.6814159292035399,0.7212389380530975
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,There could be issues related to ethics,13,0.11504424778761062,11.5,11.5%,0.8761061946902655,0.7610619469026549,0.8185840707964602
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,I might lose control over how my data are being used,4,0.035398230088495575,3.54,3.54%,0.911504424778761,0.8761061946902655,0.8938053097345133
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,"I think it is unfair for researchers beyond the original team to benefit (e.g. through future publications, career advancement) from my data collection",3,0.02654867256637168,2.65,2.65%,0.9380530973451328,0.911504424778761,0.9247787610619469
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,Other researchers could use my data for another study that I intended to conduct in the future,3,0.02654867256637168,2.65,2.65%,0.9646017699115045,0.9380530973451328,0.9513274336283186
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,I might not receive appropriate credit for my data collection,4,0.035398230088495575,3.54,3.54%,1,0.9646017699115045,0.9823008849557522
