question,item,number_responses,prop,perc,lab_perc
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,I don’t know/prefer not to answer,9,0.07964601769911504,7.96,7.96%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of funding for open access publishing,37,0.3274336283185841,32.74,32.74%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Other,4,0.035398230088495575,3.54,3.54%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of time to engage in open science practices,7,0.061946902654867256,6.19,6.19%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of recognition in my field about the value of open science practices,15,0.13274336283185842,13.27,13.27%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of credit in my institution for engaging in open science,13,0.11504424778761062,11.5,11.5%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,"Lack of supporting infrastructure (e.g., open data platforms)",1,0.008849557522123894,0.88,0.88%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of training required to implement open science practices,4,0.035398230088495575,3.54,3.54%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of mandates from funders,3,0.02654867256637168,2.65,2.65%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of information about open science practices,6,0.05309734513274336,5.31,5.31%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of interest from researchers,1,0.008849557522123894,0.88,0.88%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,I do not perceive any barriers,9,0.07964601769911504,7.96,7.96%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of time to learn open science practices,2,0.017699115044247787,1.77,1.77%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of research funding to support open science practices,1,0.008849557522123894,0.88,0.88%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of professional staff that provide support for open science practices,1,0.008849557522123894,0.88,0.88%
