question,item,number_responses,prop,perc,lab_perc,ymax,ymin,lab_pos
Do you expect that ERIM supports you in learning open science practices?,I don’t know/prefer not to answer,19,0.168141592920354,16.81,16.81%,0.168141592920354,0,0.084070796460177
Do you expect that ERIM supports you in learning open science practices?,Yes,76,0.672566371681416,67.26,67.26%,0.84070796460177,0.168141592920354,0.504424778761062
Do you expect that ERIM supports you in learning open science practices?,No,18,0.1592920353982301,15.93,15.93%,1,0.84070796460177,0.920353982300885
Which of the following open science practices would you like ERIM to provide information or support for?,I don’t know/prefer not to answer,5,0.06578947368421052,6.58,6.58%,0.06578947368421052,0,0.03289473684210526
Which of the following open science practices would you like ERIM to provide information or support for?,Open Materials and/or Code,14,0.18421052631578946,18.42,18.42%,0.25,0.06578947368421052,0.15789473684210525
Which of the following open science practices would you like ERIM to provide information or support for?,Other,2,0.02631578947368421,2.63,2.63%,0.2763157894736842,0.25,0.2631578947368421
Which of the following open science practices would you like ERIM to provide information or support for?,Pre-publication archiving,4,0.05263157894736842,5.26,5.26%,0.3289473684210526,0.2763157894736842,0.30263157894736836
Which of the following open science practices would you like ERIM to provide information or support for?,Preregistration,38,0.5,50,50%,0.8289473684210527,0.3289473684210526,0.5789473684210527
Which of the following open science practices would you like ERIM to provide information or support for?,Open Data,2,0.02631578947368421,2.63,2.63%,0.8552631578947368,0.8289473684210527,0.8421052631578947
Which of the following open science practices would you like ERIM to provide information or support for?,Open access publishing,11,0.14473684210526316,14.47,14.47%,1,0.8552631578947368,0.9276315789473684
