question,item,number_responses,prop,perc,lab_perc
"In your opinion, how important is pre-publication archiving for your field?",Extremely important,8,0.17391304347826086,17.39,17.39%
"In your opinion, how important is pre-publication archiving for your field?",I don’t know/prefer not to answer,1,0.021739130434782608,2.17,2.17%
"In your opinion, how important is pre-publication archiving for your field?",Moderately important,17,0.3695652173913043,36.96,36.96%
"In your opinion, how important is pre-publication archiving for your field?",Not at all important,4,0.08695652173913043,8.7,8.7%
"In your opinion, how important is pre-publication archiving for your field?",Slightly important,4,0.08695652173913043,8.7,8.7%
"In your opinion, how important is pre-publication archiving for your field?",Very important,12,0.2608695652173913,26.09,26.09%
What is your experience with pre-publication archiving?,I am aware of pre-publication archiving but have not used it,12,0.2608695652173913,26.09,26.09%
What is your experience with pre-publication archiving?,I don’t know/prefer not to answer,2,0.043478260869565216,4.35,4.35%
What is your experience with pre-publication archiving?,I have extensive experience with preprint archiving,18,0.391304347826087,39.13,39.13%
What is your experience with pre-publication archiving?,I have some experience with pre-publication archiving,8,0.17391304347826086,17.39,17.39%
What is your experience with pre-publication archiving?,"Until now, I was unaware of ""pre-publication archiving""",6,0.13043478260869565,13.04,13.04%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,"Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",1,0.021739130434782608,2.17,2.17%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,I do not share any of these concerns,20,0.43478260869565216,43.48,43.48%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Making my work available pre-publication might reduce the number of citations to the ultimately published work,4,0.08695652173913043,8.7,8.7%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Non-peer-reviewed findings might add noise to the literature,8,0.17391304347826086,17.39,17.39%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Other people might copy my research and publish it before I do,5,0.10869565217391304,10.87,10.87%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Some journals might not publish findings that are uploaded to a pre-publication archive,8,0.17391304347826086,17.39,17.39%
