question,item,number_responses,prop,perc,lab_perc
What is your experience with open science practices?,"I am aware, but have not used open science practices in my research",10,0.21739130434782608,21.74,21.74%
What is your experience with open science practices?,I don’t know/prefer not to answer,1,0.021739130434782608,2.17,2.17%
What is your experience with open science practices?,I have extensive experience with open science practices,4,0.08695652173913043,8.7,8.7%
What is your experience with open science practices?,I have some experience with open science practices,29,0.6304347826086957,63.04,63.04%
What is your experience with open science practices?,"Until now, I was unaware of open science practices",2,0.043478260869565216,4.35,4.35%
Are you sharing your knowledge about open science practices with others?,I don’t know/prefer not to answer,2,0.043478260869565216,4.35,4.35%
Are you sharing your knowledge about open science practices with others?,I share my knowledge with my colleagues by offering seminars and/or giving talks,1,0.021739130434782608,2.17,2.17%
Are you sharing your knowledge about open science practices with others?,I share my knowledge with my colleagues informally,23,0.5,50,50%
Are you sharing your knowledge about open science practices with others?,No,19,0.41304347826086957,41.3,41.3%
Are you sharing your knowledge about open science practices with others?,Other,1,0.021739130434782608,2.17,2.17%
During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,I don't know/prefer not to answer,2,0.043478260869565216,4.35,4.35%
During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,"No, I did not participate and I do not have an ORCID iD",4,0.08695652173913043,8.7,8.7%
During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,"No, I did not participate since I already had an ORCID iD",31,0.6739130434782609,67.39,67.39%
During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,"Yes, I participated and got an ORCID iD",9,0.1956521739130435,19.57,19.57%
