question,item,number_responses,prop,perc,lab_perc
"In your opinion, how important for your field is it that researchers preregister their studies?",Extremely important,2,0.043478260869565216,4.35,4.35%
"In your opinion, how important for your field is it that researchers preregister their studies?",I don’t know/prefer not to answer,3,0.06521739130434782,6.52,6.52%
"In your opinion, how important for your field is it that researchers preregister their studies?",Moderately important,12,0.2608695652173913,26.09,26.09%
"In your opinion, how important for your field is it that researchers preregister their studies?",Not at all important,10,0.21739130434782608,21.74,21.74%
"In your opinion, how important for your field is it that researchers preregister their studies?",Slightly important,8,0.17391304347826086,17.39,17.39%
"In your opinion, how important for your field is it that researchers preregister their studies?",Very important,11,0.2391304347826087,23.91,23.91%
What is your experience with study preregistration?,"I am aware of study preregistration, but have not used it in my research",25,0.5434782608695652,54.35,54.35%
What is your experience with study preregistration?,I don’t know/prefer not to answer,2,0.043478260869565216,4.35,4.35%
What is your experience with study preregistration?,"I have some experience with study preregistration, but do not use it regularly",13,0.2826086956521739,28.26,28.26%
What is your experience with study preregistration?,I regularly preregister my studies,2,0.043478260869565216,4.35,4.35%
What is your experience with study preregistration?,"Until now, I was unaware of study preregistration",4,0.08695652173913043,8.7,8.7%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,I do not share any of these concerns,8,0.17391304347826086,17.39,17.39%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,I don’t know/prefer not to answer,2,0.043478260869565216,4.35,4.35%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,I need to look at my data before I can decide how to best analyse it,14,0.30434782608695654,30.43,30.43%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,It might delay data collection,6,0.13043478260869565,13.04,13.04%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Other,5,0.10869565217391304,10.87,10.87%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Preregistration might lead to other people taking my research idea and implementing my plan,2,0.043478260869565216,4.35,4.35%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Preregistration might make it more difficult to publish in certain journals,1,0.021739130434782608,2.17,2.17%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Preregistration prevents exploratory research,8,0.17391304347826086,17.39,17.39%
