question,item,number_responses,prop,perc,lab_perc
"In your opinion, how important for your field is it that materials and/or code are openly available?",Extremely important,12,0.2608695652173913,26.09,26.09%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Moderately important,13,0.2826086956521739,28.26,28.26%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Slightly important,2,0.043478260869565216,4.35,4.35%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Very important,19,0.41304347826086957,41.3,41.3%
What is your experience with using open materials and/or code?,"I am aware of open materials and/or code, but have not used it in my research",12,0.2608695652173913,26.09,26.09%
What is your experience with using open materials and/or code?,"I have some experience with open materials and/or code, but do not use them regularly",19,0.41304347826086957,41.3,41.3%
What is your experience with using open materials and/or code?,I regularly use and/or create open materials and/or code,13,0.2826086956521739,28.26,28.26%
What is your experience with using open materials and/or code?,"Until now, I hadn't heard of open materials and/or code",2,0.043478260869565216,4.35,4.35%
What is your experience with sharing open materials and/or code?,"I am aware of open materials and/or code, but have not shared my own",8,0.17391304347826086,17.39,17.39%
What is your experience with sharing open materials and/or code?,"I have some experience with open materials and/or code, but do not share mine regularly",19,0.41304347826086957,41.3,41.3%
What is your experience with sharing open materials and/or code?,I regularly share open materials and/or code,17,0.3695652173913043,36.96,36.96%
What is your experience with sharing open materials and/or code?,"Until now, I hadn't heard of open materials and/or code",2,0.043478260869565216,4.35,4.35%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I do not share any of these concerns,14,0.30434782608695654,30.43,30.43%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I don’t know/prefer not to answer,2,0.043478260869565216,4.35,4.35%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I might lose control over how my materials and/or code are being used,7,0.15217391304347827,15.22,15.22%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I might not receive appropriate credit for developing the materials and/or code if I make them openly available,2,0.043478260869565216,4.35,4.35%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Other,2,0.043478260869565216,4.35,4.35%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Other researchers might criticise my materials and/or code,3,0.06521739130434782,6.52,6.52%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Other researchers might find errors in my published work,1,0.021739130434782608,2.17,2.17%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Others might find it difficult to understand my materials and/or code,9,0.1956521739130435,19.57,19.57%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Sharing these materials and/or code could result in others asking me to provide assistance for their research,5,0.10869565217391304,10.87,10.87%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,There could be issues related to intellectual property,1,0.021739130434782608,2.17,2.17%
