question,item,number_responses,prop,perc,lab_perc
Do you expect that ERIM supports you in learning open science practices?,I don’t know/prefer not to answer,11,0.16417910447761194,16.42,16.42%
Do you expect that ERIM supports you in learning open science practices?,No,7,0.1044776119402985,10.45,10.45%
Do you expect that ERIM supports you in learning open science practices?,Yes,49,0.7313432835820896,73.13,73.13%
Which of the following open science practices would you like ERIM to provide information or support for?,I don’t know/prefer not to answer,3,0.061224489795918366,6.12,6.12%
Which of the following open science practices would you like ERIM to provide information or support for?,Open access publishing,8,0.16326530612244897,16.33,16.33%
Which of the following open science practices would you like ERIM to provide information or support for?,Open Data,1,0.02040816326530612,2.04,2.04%
Which of the following open science practices would you like ERIM to provide information or support for?,Open Materials and/or Code,4,0.08163265306122448,8.16,8.16%
Which of the following open science practices would you like ERIM to provide information or support for?,Other,2,0.04081632653061224,4.08,4.08%
Which of the following open science practices would you like ERIM to provide information or support for?,Pre-publication archiving,3,0.061224489795918366,6.12,6.12%
Which of the following open science practices would you like ERIM to provide information or support for?,Preregistration,28,0.5714285714285714,57.14,57.14%
