question,item,number_responses,prop,perc,lab_perc
"In your opinion, how important for your field is it that data from published research are openly available?",Extremely important,10,0.14925373134328357,14.93,14.93%
"In your opinion, how important for your field is it that data from published research are openly available?",I don’t know/prefer not to answer,3,0.04477611940298507,4.48,4.48%
"In your opinion, how important for your field is it that data from published research are openly available?",Moderately important,24,0.3582089552238806,35.82,35.82%
"In your opinion, how important for your field is it that data from published research are openly available?",Not at all important,5,0.07462686567164178,7.46,7.46%
"In your opinion, how important for your field is it that data from published research are openly available?",Slightly important,8,0.11940298507462686,11.94,11.94%
"In your opinion, how important for your field is it that data from published research are openly available?",Very important,17,0.2537313432835821,25.37,25.37%
What is your experience with using open data?,"I am aware of open data, but have not used this in my research",38,0.5671641791044776,56.72,56.72%
What is your experience with using open data?,I don’t know/prefer not to answer,1,0.014925373134328358,1.49,1.49%
What is your experience with using open data?,"I have some experience using open data, but do not use them regularly",17,0.2537313432835821,25.37,25.37%
What is your experience with using open data?,I regularly use open data,8,0.11940298507462686,11.94,11.94%
What is your experience with using open data?,"Until now, I was unaware of open data",3,0.04477611940298507,4.48,4.48%
What is your experience with sharing open data?,"I am aware of open data, but have not shared my data",41,0.6119402985074627,61.19,61.19%
What is your experience with sharing open data?,I don’t know/prefer not to answer,2,0.029850746268656716,2.99,2.99%
What is your experience with sharing open data?,"I have some experience sharing open data, but not regularly",15,0.22388059701492538,22.39,22.39%
What is your experience with sharing open data?,I regularly share open data,7,0.1044776119402985,10.45,10.45%
What is your experience with sharing open data?,"Until now, I was unaware of open data",2,0.029850746268656716,2.99,2.99%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,I do not share any of these concerns,11,0.16417910447761194,16.42,16.42%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,I don’t know/prefer not to answer,1,0.014925373134328358,1.49,1.49%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,I might lose control over how my data are being used,3,0.04477611940298507,4.48,4.48%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,"I think it is unfair for researchers beyond the original team to benefit (e.g. through future publications, career advancement) from my data collection",2,0.029850746268656716,2.99,2.99%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,Other,3,0.04477611940298507,4.48,4.48%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,Other researchers could use my data for another study that I intended to conduct in the future,1,0.014925373134328358,1.49,1.49%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,Other researchers might criticise my data and/or research practices,6,0.08955223880597014,8.96,8.96%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,There could be issues related to ethics,11,0.16417910447761194,16.42,16.42%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,There could be issues related to intellectual property,19,0.2835820895522388,28.36,28.36%
The following are possible concerns that researchers could have about making their data openly available. Which of these concerns would apply to you?,There could be issues related to privacy,10,0.14925373134328357,14.93,14.93%
