question,item,number_responses,prop,perc,lab_perc
"In your opinion, how important for your field is it that materials and/or code are openly available?",Extremely important,11,0.16417910447761194,16.42,16.42%
"In your opinion, how important for your field is it that materials and/or code are openly available?",I don’t know/prefer not to answer,2,0.029850746268656716,2.99,2.99%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Moderately important,19,0.2835820895522388,28.36,28.36%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Not at all important,3,0.04477611940298507,4.48,4.48%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Researchers in my discipline do not use materials and/or code,2,0.029850746268656716,2.99,2.99%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Slightly important,8,0.11940298507462686,11.94,11.94%
"In your opinion, how important for your field is it that materials and/or code are openly available?",Very important,22,0.3283582089552239,32.84,32.84%
What is your experience with using open materials and/or code?,"I am aware of open materials and/or code, but have not used it in my research",34,0.5074626865671642,50.75,50.75%
What is your experience with using open materials and/or code?,"I have some experience with open materials and/or code, but do not use them regularly",16,0.23880597014925373,23.88,23.88%
What is your experience with using open materials and/or code?,I regularly use and/or create open materials and/or code,11,0.16417910447761194,16.42,16.42%
What is your experience with using open materials and/or code?,"Until now, I hadn't heard of open materials and/or code",6,0.08955223880597014,8.96,8.96%
What is your experience with sharing open materials and/or code?,"I am aware of open materials and/or code, but have not shared my own",30,0.44776119402985076,44.78,44.78%
What is your experience with sharing open materials and/or code?,"I have some experience with open materials and/or code, but do not share mine regularly",17,0.2537313432835821,25.37,25.37%
What is your experience with sharing open materials and/or code?,I regularly share open materials and/or code,15,0.22388059701492538,22.39,22.39%
What is your experience with sharing open materials and/or code?,"Until now, I hadn't heard of open materials and/or code",5,0.07462686567164178,7.46,7.46%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I do not share any of these concerns,17,0.2537313432835821,25.37,25.37%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I don’t know/prefer not to answer,2,0.029850746268656716,2.99,2.99%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I might lose control over how my materials and/or code are being used,10,0.14925373134328357,14.93,14.93%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,I might not receive appropriate credit for developing the materials and/or code if I make them openly available,2,0.029850746268656716,2.99,2.99%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Other,5,0.07462686567164178,7.46,7.46%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Other researchers might criticise my materials and/or code,7,0.1044776119402985,10.45,10.45%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Other researchers might find errors in my published work,2,0.029850746268656716,2.99,2.99%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Others might find it difficult to understand my materials and/or code,13,0.19402985074626866,19.4,19.4%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Reuse of my materials and/or code could violate the epistemological framework of my research,5,0.07462686567164178,7.46,7.46%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,Sharing these materials and/or code could result in others asking me to provide assistance for their research,2,0.029850746268656716,2.99,2.99%
The following are possible concerns that researchers could have about making their materials and/or code openly available. Which of these concerns would apply to you?,There could be issues related to intellectual property,2,0.029850746268656716,2.99,2.99%
