question,item,number_responses,prop,perc,lab_perc
"In your opinion, how important for your field is it that researchers preregister their studies?",Extremely important,6,0.08955223880597014,8.96,8.96%
"In your opinion, how important for your field is it that researchers preregister their studies?",I don’t know/prefer not to answer,5,0.07462686567164178,7.46,7.46%
"In your opinion, how important for your field is it that researchers preregister their studies?",Moderately important,29,0.43283582089552236,43.28,43.28%
"In your opinion, how important for your field is it that researchers preregister their studies?",Not at all important,9,0.13432835820895522,13.43,13.43%
"In your opinion, how important for your field is it that researchers preregister their studies?",Slightly important,5,0.07462686567164178,7.46,7.46%
"In your opinion, how important for your field is it that researchers preregister their studies?",Very important,13,0.19402985074626866,19.4,19.4%
What is your experience with study preregistration?,"I am aware of study preregistration, but have not used it in my research",36,0.5373134328358209,53.73,53.73%
What is your experience with study preregistration?,I don’t know/prefer not to answer,2,0.029850746268656716,2.99,2.99%
What is your experience with study preregistration?,"I have some experience with study preregistration, but do not use it regularly",16,0.23880597014925373,23.88,23.88%
What is your experience with study preregistration?,I regularly preregister my studies,8,0.11940298507462686,11.94,11.94%
What is your experience with study preregistration?,"Until now, I was unaware of study preregistration",5,0.07462686567164178,7.46,7.46%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,I do not share any of these concerns,11,0.16417910447761194,16.42,16.42%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,I don’t know/prefer not to answer,1,0.014925373134328358,1.49,1.49%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,I need to look at my data before I can decide how to best analyse it,15,0.22388059701492538,22.39,22.39%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,It might delay data collection,17,0.2537313432835821,25.37,25.37%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Other,4,0.05970149253731343,5.97,5.97%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Preregistration might lead to other people taking my research idea and implementing my plan,1,0.014925373134328358,1.49,1.49%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Preregistration might make it more difficult to publish in certain journals,1,0.014925373134328358,1.49,1.49%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Preregistration prevents exploratory research,14,0.208955223880597,20.9,20.9%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Preregistration stifles research creativity or flexibility,3,0.04477611940298507,4.48,4.48%
