question,item,number_responses,prop,perc,lab_perc
"In your opinion, how important is pre-publication archiving for your field?",Extremely important,4,0.05970149253731343,5.97,5.97%
"In your opinion, how important is pre-publication archiving for your field?",I don’t know/prefer not to answer,12,0.1791044776119403,17.91,17.91%
"In your opinion, how important is pre-publication archiving for your field?",Moderately important,10,0.14925373134328357,14.93,14.93%
"In your opinion, how important is pre-publication archiving for your field?",Not at all important,14,0.208955223880597,20.9,20.9%
"In your opinion, how important is pre-publication archiving for your field?",Slightly important,15,0.22388059701492538,22.39,22.39%
"In your opinion, how important is pre-publication archiving for your field?",Very important,12,0.1791044776119403,17.91,17.91%
What is your experience with pre-publication archiving?,I am aware of pre-publication archiving but have not used it,26,0.3880597014925373,38.81,38.81%
What is your experience with pre-publication archiving?,I don’t know/prefer not to answer,4,0.05970149253731343,5.97,5.97%
What is your experience with pre-publication archiving?,I have extensive experience with preprint archiving,7,0.1044776119402985,10.45,10.45%
What is your experience with pre-publication archiving?,I have some experience with pre-publication archiving,15,0.22388059701492538,22.39,22.39%
What is your experience with pre-publication archiving?,"Until now, I was unaware of ""pre-publication archiving""",15,0.22388059701492538,22.39,22.39%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,"Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",4,0.05970149253731343,5.97,5.97%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,I do not share any of these concerns,10,0.14925373134328357,14.93,14.93%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Non-peer-reviewed findings might add noise to the literature,4,0.05970149253731343,5.97,5.97%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Other,3,0.04477611940298507,4.48,4.48%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Other people might copy my research and publish it before I do,11,0.16417910447761194,16.42,16.42%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Some journals might not publish findings that are uploaded to a pre-publication archive,35,0.5223880597014925,52.24,52.24%
