question,item,number_responses,prop,perc,lab_perc
What is your experience with open science practices?,"I am aware, but have not used open science practices in my research",30,0.44776119402985076,44.78,44.78%
What is your experience with open science practices?,I have extensive experience with open science practices,9,0.13432835820895522,13.43,13.43%
What is your experience with open science practices?,I have some experience with open science practices,28,0.417910447761194,41.79,41.79%
Are you sharing your knowledge about open science practices with others?,I don’t know/prefer not to answer,6,0.08955223880597014,8.96,8.96%
Are you sharing your knowledge about open science practices with others?,I share my knowledge with my colleagues by offering seminars and/or giving talks,2,0.029850746268656716,2.99,2.99%
Are you sharing your knowledge about open science practices with others?,I share my knowledge with my colleagues informally,41,0.6119402985074627,61.19,61.19%
Are you sharing your knowledge about open science practices with others?,I share my knowledge with my students or fellow research students,1,0.014925373134328358,1.49,1.49%
Are you sharing your knowledge about open science practices with others?,No,15,0.22388059701492538,22.39,22.39%
Are you sharing your knowledge about open science practices with others?,Other,2,0.029850746268656716,2.99,2.99%
During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,I don't know/prefer not to answer,2,0.029850746268656716,2.99,2.99%
During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,"No, I did not participate and I do not have an ORCID iD",6,0.08955223880597014,8.96,8.96%
During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,"No, I did not participate since I already had an ORCID iD",42,0.6268656716417911,62.69,62.69%
During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,"Yes, I participated and got an ORCID iD",17,0.2537313432835821,25.37,25.37%
