question,item,number_responses,prop,perc,lab_perc
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,I do not perceive any barriers,3,0.04477611940298507,4.48,4.48%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,I don’t know/prefer not to answer,7,0.1044776119402985,10.45,10.45%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of credit in my institution for engaging in open science,10,0.14925373134328357,14.93,14.93%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of funding for open access publishing,12,0.1791044776119403,17.91,17.91%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of information about open science practices,5,0.07462686567164178,7.46,7.46%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of interest from researchers,1,0.014925373134328358,1.49,1.49%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of mandates from funders,2,0.029850746268656716,2.99,2.99%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of recognition in my field about the value of open science practices,12,0.1791044776119403,17.91,17.91%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of research funding to support open science practices,1,0.014925373134328358,1.49,1.49%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,"Lack of supporting infrastructure (e.g., open data platforms)",1,0.014925373134328358,1.49,1.49%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of time to engage in open science practices,6,0.08955223880597014,8.96,8.96%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of time to learn open science practices,1,0.014925373134328358,1.49,1.49%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Lack of training required to implement open science practices,3,0.04477611940298507,4.48,4.48%
The following are possible barriers to the uptake of open science practices. Please place a tick beside any statement that you agree is a barrier in your field.,Other,3,0.04477611940298507,4.48,4.48%
